id,unit_type,no_of_room,no_of_bed,no_of_bath,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,number_of_reviews_ltm,rating,license,is_new,calendar.count_demand,calendar.min_night,calendar.max_night
14107152,Rental unit , 1 bedroom , 2 beds , 1 bath,84953548,Marika,,Kensington-Cedar Cottage,Vancouver ,49.23372,-123.07703,Entire home/apt,120,1,138,10/9/2023,1.54,1,23,4.54,License,N,12,1.416666667,1125
14112422,Guest suite , Studio , 1 bed , 1 bath,63676271,Katie,,Downtown,Vancouver ,49.27791,-123.12252,Entire home/apt,135,5,121,10/29/2023,1.35,1,7,4.81,License,N,314,10.59872611,1125
14112559,Rental unit , 1 bedroom , 1 bed , 1 bath,9341671,Rossina,,Downtown,Vancouver ,49.28353,-123.11524,Private room,120,30,3,9/5/2016,0.03,1,0,4.67,Unlicense,N,292,30,1125
14127036,Home , 2 bedrooms , 2 beds , 1 bath,47138587,Kathy,,Sunset,Vancouver ,49.21684,-123.07936,Entire home/apt,160,10,24,10/13/2023,0.27,1,5,4.88,License,N,12,10,1125
14143287,Rental unit , 1 bedroom , 2 beds , 1.5 baths,1103248,Courtney,,Downtown,Vancouver  ,49.2755,-123.12173,Entire home/apt,180,30,16,8/27/2023,0.18,2,1,4.81,Unlicense,N,234,30,1125
14167369,Home , 1 bedroom , 1 bed , 1.5 shared baths,8979425,Malcolm,,Grandview-Woodland,Vancouver ,49.27387,-123.06649,Private room,56,3,105,11/1/2023,1.17,4,2,4.8,License,N,359,3.930362117,730
14168267,Home , 2 bedrooms , 2 beds , 1 bath,15944070,Jean And Charlene,,Grandview-Woodland,Vancouver ,49.26693474,-123.0667228,Entire home/apt,145,3,245,11/26/2023,2.73,1,41,4.89,License,N,364,3,35
14180277,Home , 1 bedroom , 1 bed , 1.5 shared baths,8979425,Malcolm,,Grandview-Woodland,Vancouver ,49.27363,-123.06443,Private room,54,2,91,12/12/2023,1.01,4,11,4.79,License,N,316,2.025316456,730
14194524,Rental unit , 1 bedroom , 1 bed , 1 shared bath,86078406,Clark,,Kitsilano,Vancouver ,49.27033,-123.17665,Private room,65,31,12,6/17/2018,0.14,1,0,4.75,Unlicense,N,204,31,183
14216608,Condo , 1 bedroom , 1 bed , 1 bath,86344341,Ebru,,Downtown,Vancouver ,49.27683,-123.11942,Entire home/apt,200,90,9,6/11/2023,0.1,1,3,5,Unlicense,N,111,90,1125
14222707,Home , 1 bedroom , 1 bed , 1 shared bath,85899719,Delbert,,Sunset,Vancouver ,49.21769,-123.09191,Private room,211,1,6,8/16/2018,0.07,1,0,4.83,License,N,2,1,60
14237741,Guest suite , 1 bedroom , 1 bed , 1 bath,3144187,Sara,,Grandview-Woodland,Vancouver ,49.28054,-123.06184,Entire home/apt,110,3,99,10/23/2023,1.11,1,26,4.92,License,N,326,3,10
14237820,Home , 1 bedroom , 1 bed , 1 private bath,13884145,Barry,,Kensington-Cedar Cottage,Vancouver ,49.23441,-123.0664,Private room,69,1,101,12/4/2023,1.13,4,44,4.61,License,N,103,1,1125
14247519,Rental unit , 1 bedroom , 1 bed , 1 bath,86614448,Ann,,Downtown Eastside,Vancouver ,49.28043,-123.10105,Entire home/apt,0,3,127,9/12/2022,1.44,1,0,4.93,License,N,365,3,1125
14248978,Home , 1 bedroom , 1 bed , 1 bath,78932005,Joy,,Downtown Eastside,Vancouver ,49.27904,-123.09246,Entire home/apt,110,3,263,11/1/2023,2.94,1,27,4.94,License,N,325,3,1125
14261655,Home , 1 bedroom , 1 bed , 1 private bath,13884145,Barry,,Kensington-Cedar Cottage,Vancouver ,49.23586,-123.06635,Private room,56,30,81,3/7/2019,0.91,4,0,4.42,License,N,112,30,1125
14296335,Home , 1 bedroom , 1 bed , 1 shared bath,79403774,Aihua,,Kensington-Cedar Cottage,Vancouver ,49.26196,-123.05811,Private room,61,1,279,12/8/2023,3.15,3,43,4.71,License,N,36,1,1125
14320418,Home , 1 bedroom , 1 bed , 1 bath,54414133,Tommy,,Killarney,Vancouver ,49.23108,-123.02945,Entire home/apt,58,2,186,11/24/2023,2.08,1,46,4.56,License,N,231,1.995670996,1125
14341031,Townhouse , 1 bedroom , 1 bed , 1 bath,87829724,Spencer,,Downtown,Vancouver ,49.27539,-123.10009,Entire home/apt,0,4,38,10/10/2019,0.47,1,0,4.97,License,N,365,4,1125
14406551,Rental unit , 2 bedrooms , 2 beds , 2 baths,20025961,Lesley & Adam,,Downtown,Vancouver ,49.2786,-123.10777,Entire home/apt,332,3,65,11/25/2023,0.73,1,21,4.98,License,N,316,2.993670886,60
14419998,Guest suite , 1 bedroom , 1 bed , 1 bath,9575419,Elana & Claudio,,Downtown Eastside,Vancouver ,49.27729,-123.08774,Entire home/apt,150,30,91,11/9/2023,1.03,4,6,4.96,Unlicense,N,103,30,1125
14505465,Loft , 1 bedroom , 1 bed , 1.5 baths,5397771,Ludi,,Strathcona,Vancouver ,49.27671,-123.09865,Entire home/apt,0,2,121,10/9/2023,1.36,1,10,4.86,License,N,365,2,1125
14524029,Guest suite , 1 bedroom , 1 bed , 1 bath,83812330,Brenda,,South Cambie,Vancouver ,49.25442,-123.12548,Entire home/apt,104,4,112,11/14/2023,1.27,2,16,4.85,License,N,326,3.963190184,1125
14535292,Townhouse , 2 bedrooms , 2 beds , 1.5 baths,74168621,Vesanto,,Kensington-Cedar Cottage,Vancouver ,49.23942,-123.07083,Entire home/apt,0,4,12,7/29/2019,0.15,1,0,4.92,License,N,365,4,35
14538753,Guest suite , 2 bedrooms , 2 beds , 1 bath,10680381,Sarah & Patrick,,Kensington-Cedar Cottage,Vancouver ,49.25423,-123.08951,Entire home/apt,166,30,247,10/16/2023,2.77,1,27,4.85,License,N,226,30,1125
14555310,Rental unit , 1 bedroom , 1 bed , 1 bath,2140783,Hande,,Grandview-Woodland,Vancouver ,49.27524,-123.07223,Entire home/apt,0,30,171,12/7/2022,1.92,3,0,4.95,License,N,365,30,1125
14569204,Rental unit , 1 bedroom , 1 bed , 1 bath,162896,Vanessa,,Mount Pleasant,Vancouver ,49.2697,-123.10152,Entire home/apt,115,4,76,12/4/2023,0.86,1,12,4.92,License,N,351,4.068376068,1125
14570210,Home , Studio , 2 beds , 1 bath,8481351,M,,Kensington-Cedar Cottage,Vancouver ,49.25758,-123.06673,Entire home/apt,80,2,420,11/15/2023,4.74,1,71,4.81,License,N,320,2,90
14595350,Condo , 1 bedroom , 2 beds , 1 bath,90536019,Katherine,,Kitsilano,Vancouver ,49.2715928,-123.1610614,Entire home/apt,114,2,71,11/19/2023,4.19,1,61,4.78,License,N,188,2,1125
14607432,Home , 1 bedroom , 1 bed , 1 bath,16809954,Jenn,,Kensington-Cedar Cottage,Vancouver ,49.23913,-123.08451,Entire home/apt,67,30,31,1/3/2023,0.37,1,1,4.42,Unlicense,N,310,30,181
14612693,Home , 1 bedroom , 2 beds , 1 shared bath,13884145,Barry,,Kensington-Cedar Cottage,Vancouver ,49.23369,-123.06612,Private room,60,30,102,8/29/2023,1.15,4,8,4.67,License,N,118,30,1125
14613217,Loft , 1 bedroom , 1 bed , 1 bath,8642328,Bridget,,Mount Pleasant,Vancouver ,49.26716317,-123.0980272,Entire home/apt,213,3,126,11/16/2023,1.43,1,35,4.85,License,N,92,2.967391304,1125
14613265,Home , 1 bedroom , 1 bed , 1 shared bath,13884145,Barry,,Kensington-Cedar Cottage,Vancouver ,49.23388,-123.06472,Private room,55,30,65,2/18/2019,0.73,4,0,4.63,License,N,111,30,1125
14616229,Home , 1 bedroom , 1 bed , 1 private bath,79379,Pushpa,,West Point Grey,Vancouver ,49.26192,-123.21326,Private room,149,30,12,7/10/2022,0.22,5,0,4.92,License,N,186,30,30
14674413,Rental unit , 1 bedroom , 1 bed , 1 bath,836376,Stacy,,Riley Park,Vancouver ,49.24743,-123.09525,Entire home/apt,85,31,30,12/19/2021,0.34,1,0,4.93,Unlicense,N,365,31,1124
14688071,Home , 3 bedrooms , 5 beds , 2 baths,8086853,Michi,,South Cambie,Vancouver ,49.25332,-123.12309,Entire home/apt,325,3,18,9/3/2023,0.22,1,3,4.83,License,N,258,3,14
14372586,Home , 2 bedrooms , 2 beds , 1 bath,66092700,Robby,,Sunset,Vancouver ,49.2133261,-123.0992998,Entire home/apt,125,1,6,3/3/2023,0.61,1,6,4.83,License,N,0,0,0
14711719,Condo , 1 bedroom , 1 bed , 1 bath,89151601,Yashina,,Downtown,Vancouver ,49.27618,-123.12744,Entire home/apt,106,30,22,10/1/2023,0.25,1,3,4.91,Unlicense,N,325,30,300
14724594,Condo , 1 bedroom , 1 bed , 1 bath,23977001,Emma,,Downtown,Vancouver ,49.27497,-123.11716,Entire home/apt,160,30,27,6/28/2022,0.31,12,0,4.89,Unlicense,N,40,30,1120
14752363,Townhouse , 2 bedrooms , 3 beds , 2 baths,6354229,Glenn,,Kitsilano,Vancouver ,49.26468658,-123.1591873,Entire home/apt,300,2,109,12/12/2023,1.95,1,17,4.98,License,N,344,2,1125
14775158,Home , 1 bedroom , 1 bed , 1 shared bath,39040533,Karen,,Sunset,Vancouver ,49.22051,-123.0856,Private room,62,1,607,11/16/2023,7.99,1,119,4.73,License,N,361,1,1125
14787418,Home , 2 bedrooms , 3 beds , 1 bath,2789764,John,,Kitsilano,Vancouver ,49.26446,-123.18001,Entire home/apt,190,1,255,12/11/2023,2.95,1,52,4.96,License,N,163,1,180
14802240,Rental unit , 1 bedroom , 1 bed , 1 bath,40655499,Alicia,,Downtown,Vancouver ,49.2784,-123.12063,Entire home/apt,115,30,9,11/17/2023,0.1,1,4,5,Unlicense,N,356,30,1125
14809328,Guest suite , 2 bedrooms , 3 beds , 1 bath,82378240,Sarah,,Kensington-Cedar Cottage,Vancouver ,49.24911,-123.07706,Entire home/apt,110,2,272,12/3/2023,3.08,1,15,4.84,License,N,307,2,1125
14811738,Condo , 1 bedroom , 1 bed , 1.5 baths,7118149,Marcel,,Downtown,Vancouver ,49.28073,-123.12535,Entire home/apt,310,30,11,12/2/2019,0.13,1,0,5,License,N,187,30,1124
14831562,Home , 1 bedroom , 1 bed , 1.5 shared baths,92655648,Lucy,,Victoria-Fraserview,Vancouver ,49.21255,-123.0574,Private room,69,1,120,10/27/2023,1.36,3,25,4.89,License,N,5,1,1125
14831774,Home , 1 bedroom , 1 bed , 1 shared bath,92655648,Lucy,,Victoria-Fraserview,Vancouver ,49.21121,-123.05598,Private room,51,30,100,1/31/2023,1.13,3,3,4.91,License,N,74,28,1125
14836715,Home , 5 bedrooms , 6 beds , 4.5 baths,38519585,Matoula,,Arbutus Ridge,Vancouver ,49.24918,-123.16495,Entire home/apt,875,28,0,null,0,1,0,0,License,null,171,28,365
14843816,Rental unit , 2 bedrooms , 2 beds , 1 bath,92898238,Diane,,Downtown,Vancouver ,49.28109,-123.11987,Entire home/apt,199,90,6,9/16/2017,0.07,1,0,4.83,Unlicense,N,276,90,1125
14844498,Rental unit , 1 bedroom , 1 bed , 1 bath,92905651,Banan,,Downtown,Vancouver ,49.28226,-123.1192,Entire home/apt,189,30,12,10/16/2017,0.14,1,0,4.83,Unlicense,N,365,30,1125
14856847,Home , 1 bedroom , 1 bed , 1 shared bath,79403774,Aihua,,Kensington-Cedar Cottage,Vancouver ,49.2593,-123.05971,Private room,64,1,292,10/12/2023,3.31,3,14,4.78,License,N,64,1,1125
14884981,Home , 1 bedroom , 1 bed , 1 private bath,32389320,Charlene,,Marpole,Vancouver ,49.21586,-123.12532,Private room,0,1,214,3/13/2020,2.42,1,0,4.87,License,N,365,1,1125
14887513,Guest suite , 2 bedrooms , 2 beds , 1 bath,71759229,Stephen,,Hastings-Sunrise,Vancouver ,49.26612,-123.03956,Entire home/apt,110,4,271,10/4/2023,3.09,1,22,4.9,License,N,283,4,1125
14929609,Rental unit , 1 bedroom , 2 beds , 1.5 baths,93854755,Geraldine,,Kitsilano,Vancouver ,49.26605,-123.15106,Entire home/apt,100,30,47,2/1/2023,0.53,1,1,4.55,Unlicense,N,128,30,61
14946886,Home , 1 bedroom , 1 bed , 1 bath,25104956,James,,Mount Pleasant,Vancouver ,49.25938,-123.10424,Entire home/apt,0,2,35,2/18/2019,0.4,1,0,4.8,License,N,365,2,28
14992464,Condo , 1 bedroom , 1 bed , 1 bath,94520575,Richard,,Downtown,Vancouver ,49.27775,-123.12325,Entire home/apt,256,3,118,11/7/2023,1.5,1,25,4.96,License,N,193,3,60
15008574,Rental unit , 1 bedroom , 1 bed , 1 bath,82695760,Sandra,,Kitsilano,Vancouver ,49.26774,-123.17773,Entire home/apt,115,4,171,12/11/2023,1.95,1,35,4.94,License,N,302,4.029801325,31
15037603,Guest suite , 1 bedroom , 1 bed , 1 bath,3045173,Noa&Rafi,,Grandview-Woodland,Vancouver ,49.27369,-123.06303,Entire home/apt,99,2,294,11/26/2023,3.35,1,51,4.83,License,N,217,2,1125
15040167,Home , 2 bedrooms , 2 beds , 2 baths,29412479,Siv Executive Properties,,Riley Park,Vancouver ,49.25113,-123.11466,Entire home/apt,123,30,12,1/15/2023,0.14,7,1,4.75,Unlicense,N,20,30,1125
15041985,Guest suite , 1 bedroom , 1 bed , 1 bath,95032721,Richard And Betty,,Renfrew-Collingwood,Vancouver ,49.25377,-123.04513,Entire home/apt,142,2,87,9/27/2023,0.99,1,19,4.75,License,N,3,2,1125
15043236,Guest suite , 1 bedroom , 1 bed , 1 bath,9575419,Elana & Claudio,,Downtown Eastside,Vancouver ,49.27926,-123.08715,Entire home/apt,150,30,110,8/24/2023,1.25,4,2,4.95,Unlicense,N,193,30,1125
15058838,Guest suite , Studio , 1 bed , 1 bath,18554515,Dan,,Kensington-Cedar Cottage,Vancouver ,49.25489,-123.07461,Entire home/apt,0,3,52,10/22/2019,0.77,1,0,4.85,License,N,365,3,27
15086471,Guest suite , 2 bedrooms , 2 beds , 1.5 baths,18111905,Laurel,,Kitsilano,Vancouver ,49.26639,-123.16389,Entire home/apt,121,30,6,4/1/2023,0.08,1,1,5,License,N,261,30,90
15111957,Home , 1 bedroom , 1 bed , 1 shared bath,92655648,Lucy,,Victoria-Fraserview,Vancouver ,49.21308,-123.05564,Private room,69,30,62,9/30/2023,0.7,3,4,4.92,License,N,50,28,1125
15149620,Guest suite , Studio , 1 bed , 1 bath,25567962,June,,Hastings-Sunrise,Vancouver ,49.27726,-123.04511,Entire home/apt,65,7,108,9/28/2023,1.23,2,1,4.64,License,N,352,7,24
15160387,Rental unit , 1 bedroom , 1 bed , 1 bath,600607,Martello,,Downtown,Vancouver ,49.27775,-123.11741,Entire home/apt,0,90,4,12/11/2021,0.05,33,0,4.75,Unlicense,N,365,90,180
15161567,Rental unit , Studio , 1 bed , 1 bath,96195325,Tara,,Shaughnessy,Vancouver ,49.23582,-123.12859,Entire home/apt,99,30,56,8/30/2018,0.67,1,0,4.36,Unlicense,N,365,30,1125
15197174,Rental unit , Studio , 1 bed , 1 bath,14520654,David,,Mount Pleasant,Vancouver ,49.26143,-123.10964,Entire home/apt,104,3,375,12/9/2023,4.28,1,64,4.91,License,N,317,3,1125
15255610,Rental unit , 1 bedroom , 1 bed , 1 bath,96891995,Sara,,Mount Pleasant,Vancouver ,49.26065,-123.09872,Entire home/apt,0,30,3,8/16/2018,0.03,1,0,5,Unlicense,N,365,30,1125
15260043,Condo , 1 bedroom , 1 bed , 1 bath,29968014,Michael,,Downtown,Vancouver ,49.27947,-123.11835,Entire home/apt,117,30,34,9/11/2023,0.39,1,3,4.85,Unlicense,N,188,30,1125
15267634,Serviced apartment , 1 bedroom , 1 bed , 1 bath,53608620,Natasha,,Downtown,Vancouver ,49.28009,-123.12695,Entire home/apt,0,2,98,9/4/2022,1.12,1,0,4.49,License,N,365,2,1125
15272120,Home , 1 bedroom , 2 beds , 1 bath,97168167,Mike,,South Cambie,Vancouver ,49.25175,-123.11925,Entire home/apt,500,30,14,5/1/2021,0.16,1,0,5,Unlicense,N,61,30,1124
15280784,Rental unit , 1 bedroom , 1 bed , 1 bath,2079660,Kenny,,Downtown,Vancouver ,49.27952,-123.12024,Entire home/apt,125,80,2,6/25/2017,0.02,1,0,0,Unlicense,null,276,80,160
15287481,Rental unit , 1 bedroom , 1 bed , 1 bath,4104828,Al,,Downtown,Vancouver ,49.27649,-123.12663,Entire home/apt,90,30,0,null,0,2,0,0,Unlicense,null,215,30,1125
15288267,Condo , 1 bedroom , 1 bed , 1 bath,23977001,Emma,,Downtown,Vancouver ,49.27629,-123.12508,Entire home/apt,160,30,17,5/1/2023,0.2,12,1,4.94,Unlicense,N,54,30,1125
15300175,Home , 1 bedroom , 1 bed , 1 bath,47463341,John,,Downtown,Vancouver ,49.28484,-123.11437,Private room,99,1,0,null,0,1,0,0,Exempt,null,365,1,28
15312395,Floor , 2 bedrooms , 2 beds , 1 bath,97541929,Joelly,,Dunbar Southlands,Vancouver ,49.2543,-123.19622,Entire home/apt,151,30,63,10/23/2023,0.76,2,11,4.78,License,N,20,18.3,250
15316279,Guest suite , 2 bedrooms , 2 beds , 2 baths,83067727,Andre,,South Cambie,Vancouver ,49.24921,-123.12436,Entire home/apt,293,1,2,10/29/2023,1.13,1,2,0,License,null,256,1.140625,31
15321958,Townhouse , 1 bedroom , 1 bed , 1 shared bath,2868175,Espirito Santo,,Kitsilano,Vancouver ,49.26321,-123.16329,Private room,71,30,45,9/10/2023,0.54,2,1,4.53,Unlicense,N,1,30,1125
15329853,Home , 7 bedrooms , 2 beds , 1 bath,36840363,Steven,,Renfrew-Collingwood,Vancouver ,49.25117,-123.05318,Entire home/apt,240,1,177,9/25/2023,2.03,1,20,4.88,License,N,16,1,1125
15330197,Condo , 2 bedrooms , 3 beds , 2 baths,7411420,Michael,,Downtown,Vancouver ,49.279205,-123.117622,Entire home/apt,499,30,28,8/31/2022,0.33,1,0,5,Unlicense,N,1,30,1125
15363953,Townhouse , 1 bedroom , 1 bed , 1 shared bath,2868175,Espirito Santo,,Kitsilano,Vancouver ,49.26346,-123.16109,Private room,80,30,34,7/31/2023,0.41,2,2,4.24,Unlicense,N,171,30,1125
15424088,Condo , 1 bedroom , 1 bed , 1 bath,2693243,John,,Downtown,Vancouver ,49.2849,-123.11725,Entire home/apt,141,1,64,12/29/2021,0.74,5,0,4.81,Exempt,N,365,1,1125
15455452,Townhouse , 2 bedrooms , 2 beds , 2.5 baths,3308468,Therese,,Kitsilano,Vancouver ,49.26858,-123.16151,Entire home/apt,0,3,112,9/16/2023,1.35,1,8,4.98,License,N,365,3,1123
15471901,Condo , Studio , 1 bed , 1 bath,80571916,Alya,,Downtown,Vancouver ,49.2775,-123.13086,Entire home/apt,139,90,61,11/26/2023,0.71,3,4,4.54,Unlicense,N,147,90,1125
15481083,Rental unit , 1 bedroom , 2 beds , 1 bath,43606470,Lawrence,,Kitsilano,Vancouver ,49.26244,-123.15148,Entire home/apt,269,30,46,9/15/2023,0.53,1,3,4.87,Unlicense,N,354,30,1125
15504479,Serviced apartment , 1 bedroom , 2 beds , 1 bath,85391618,Harkamal,,Downtown,Vancouver ,49.274548,-123.127823,Entire home/apt,129,1,110,12/11/2023,5.3,1,65,4.9,License,N,256,3.16796875,365
15514194,Home , 1 bedroom , 1 bed , 1 private bath,99694720,Paul,,Oakridge,Vancouver ,49.22821261,-123.1101018,Private room,98,1,68,10/25/2023,0.8,1,21,4.9,License,N,291,1,1125
15541440,Rental unit , 1 bedroom , 1 bed , 1 shared bath,20279743,H,,Downtown Eastside,Vancouver ,49.28161,-123.10181,Private room,140,2,63,9/24/2023,1.15,1,15,4.78,License,N,352,2,15
15542567,Home , 2 bedrooms , 3 beds , 1 bath,6425673,Suzanne,,Kitsilano,Vancouver ,49.27017,-123.15711,Entire home/apt,200,2,301,12/8/2023,3.53,1,46,4.93,License,N,270,2.048148148,1125
15563093,Rental unit , 2 bedrooms , 1 bed , 1 bath,22666552,Jason,,Downtown,Vancouver ,49.27652,-123.11044,Entire home/apt,0,1,186,7/21/2018,2.14,1,0,4.84,License,N,365,1,30
15582940,Home , 3 bedrooms , 3 beds , 2 baths,82402482,Carol,,Arbutus Ridge,Vancouver ,49.24566,-123.16614,Entire home/apt,150,30,27,7/31/2023,0.32,1,2,4.41,Unlicense,N,170,30,1124
15635558,Guest suite , 1 bedroom , 2 beds , 1 bath,63265355,Robert,,Dunbar Southlands,Vancouver ,49.23306,-123.18078,Entire home/apt,72,31,1,8/27/2017,0.01,1,0,0,Unlicense,null,171,31,1125
15642866,Rental unit , 2 bedrooms , 3 beds , 1 bath,100765331,Sean,,Kitsilano,Vancouver ,49.27165,-123.15073,Entire home/apt,248,1,144,10/22/2023,1.7,1,21,4.67,License,N,365,1.676712329,1125
15646460,Home , 4 bedrooms , 8 beds , 3 baths,100287076,Darren & Jen,,South Cambie,Vancouver ,49.25072,-123.11681,Entire home/apt,950,5,78,12/7/2023,0.9,1,18,4.88,License,N,216,3.24537037,1125
15648459,Home , 1 bedroom , 1 bed , 1.5 shared baths,598979,Mary,,Kitsilano,Vancouver ,49.26851,-123.17557,Private room,160,2,36,9/11/2023,0.59,2,10,4.92,License,N,275,2,7
15706251,Condo , 3 bedrooms , 3 beds , 2 baths,101423730,Taren,,Downtown,Vancouver ,49.2878,-123.12423,Entire home/apt,200,30,16,10/30/2023,0.21,1,2,4.75,Unlicense,N,231,30,1125
15803843,Condo , 2 bedrooms , 2 beds , 1 bath,97322503,Mark,,Kitsilano,Vancouver ,49.26793,-123.16231,Entire home/apt,350,5,81,11/4/2023,0.97,1,16,4.99,License,N,106,5,1125
15951675,Rental unit , 2 bedrooms , 3 beds , 1 bath,103562361,Jane,,Downtown,Vancouver ,49.27737,-123.12369,Entire home/apt,0,3,71,12/14/2019,0.83,1,0,4.83,License,N,365,3,1125
15988395,Condo , 1 bedroom , 1 bed , 1 bath,8041031,Amer,,Downtown,Vancouver ,49.28536,-123.11279,Entire home/apt,0,30,0,null,0,1,0,0,Unlicense,null,365,30,30
16026015,Guest suite , 2 bedrooms , 4 beds , 1 bath,37361797,Maria,,Hastings-Sunrise,Vancouver ,49.28457,-123.04419,Entire home/apt,150,1,389,11/24/2023,4.6,1,56,4.83,License,N,244,1,1125
16083491,Guest suite , 1 bedroom , 2 beds , 1 bath,100692916,Diane,,Hastings-Sunrise,Vancouver ,49.28638,-123.02704,Entire home/apt,99,2,181,11/12/2023,2.21,1,31,4.9,License,N,289,2,1125
16146450,Condo , 1 bedroom , 1 bed , 1 private bath,6571197,Christina,,West End,Vancouver ,49.28486,-123.12928,Private room,135,2,67,12/2/2023,0.78,1,17,4.99,License,N,362,2,14
16166488,Home , 1 bedroom , 2 beds , 1 bath,41010403,Jimin & Rosemary,,Sunset,Vancouver ,49.21784,-123.10492,Entire home/apt,89,1,78,12/1/2023,0.92,2,5,4.65,License,N,4,1,365
16177189,Rental unit , 1 bedroom , 1 bed , 1 bath,27804380,Sophie & Pat,,Mount Pleasant,Vancouver ,49.26594,-123.10085,Entire home/apt,144,3,189,11/11/2023,2.21,1,18,4.85,License,N,363,3,28
16191372,Home , 2 bedrooms , 2 beds , 1.5 baths,2185723,Joscelyne,,Mount Pleasant,Vancouver ,49.25954,-123.11069,Entire home/apt,230,3,8,11/20/2023,2,1,8,5,License,N,332,3.924698795,1125
16203098,Guest suite , 2 bedrooms , 3 beds , 1 bath,2172574,Mark,,Kensington-Cedar Cottage,Vancouver ,49.24014,-123.0887,Entire home/apt,95,30,25,8/31/2022,0.29,2,0,4.84,Unlicense,N,196,30,1123
16218564,Guest suite , 2 bedrooms , 2 beds , 1 bath,5233549,Joyce,,Riley Park,Vancouver ,49.23775,-123.11017,Entire home/apt,0,1,2,6/16/2017,0.03,4,0,0,License,null,365,1,1125
16232948,Loft , 1 bedroom , 1 bed , 1 bath,14164109,Amie,,Downtown,Vancouver ,49.27476,-123.12499,Entire home/apt,350,30,51,8/11/2023,0.62,1,5,4.82,Unlicense,N,68,30,1125
16233697,Guest suite , 1 bedroom , 1 bed , 1 bath,92576846,Chris,,Kitsilano,Vancouver ,49.26011,-123.16452,Entire home/apt,94,30,103,6/30/2023,1.21,2,4,4.61,License,N,144,28.875,1125
16243231,Rental unit , 1 bedroom , 1 bed , 1 bath,4184815,Foris,,Mount Pleasant,Vancouver ,49.25824,-123.10429,Entire home/apt,153,2,148,11/26/2023,1.77,1,27,4.86,License,N,225,3,1125
16259049,Home , 4 bedrooms , 5 beds , 4 baths,1963648,Kristina,,Kitsilano,Vancouver ,49.27525,-123.14821,Entire home/apt,1200,2,59,9/6/2022,0.73,1,0,4.78,License,N,365,2,1125
16288021,Rental unit , 1 bedroom , 1 bed , 1 bath,106542915,Elizabeth,,Downtown,Vancouver ,49.27905,-123.11948,Entire home/apt,125,30,11,10/14/2023,0.18,1,2,5,Unlicense,N,123,30,1125
16289980,Condo , 1 bedroom , 1 bed , 1 private bath,2589849,Kati,,Mount Pleasant,Vancouver ,49.26494,-123.10111,Private room,75,3,118,11/23/2023,1.43,1,2,4.98,License,N,341,3,8
16302576,Rental unit , 2 bedrooms , 1 bed , 1 bath,15981416,Marcel,,Grandview-Woodland,Vancouver ,49.28168,-123.06178,Entire home/apt,0,2,12,9/5/2019,0.17,1,0,5,License,N,365,2,1125
16315060,Condo , 1 bedroom , 2 beds , 1 bath,106761964,Rob,,Downtown,Vancouver ,49.27857,-123.12299,Entire home/apt,125,1,494,12/1/2023,5.8,1,75,4.81,License,N,347,1.282420749,1125
16491614,Rental unit , 1 bedroom , 1 bed , 1 bath,107942170,Draeden,,West End,Vancouver ,49.27821,-123.13297,Entire home/apt,0,2,201,10/18/2023,2.39,1,8,4.81,License,N,365,2,90
16491812,Guest suite , 1 bedroom , 1 bed , 1 bath,256391,Gail,,South Cambie,Vancouver ,49.25662,-123.12287,Entire home/apt,100,30,148,12/1/2023,1.82,1,6,4.8,License,N,343,30,1125
16616603,Home , 1 bedroom , 1 bed , 1 shared bath,653436,Pirike,,Renfrew-Collingwood,Vancouver ,49.24415,-123.0496,Private room,147,30,13,8/27/2023,0.2,5,2,4.23,Unlicense,N,100,30,1125
16621051,Condo , 1 bedroom , 1 bed , 1 bath,90741199,Laura,,Kitsilano,Vancouver ,49.26417348,-123.1485814,Entire home/apt,100,50,4,8/31/2023,0.78,1,4,4,License,N,305,50,1125
16673770,Home , 3 bedrooms , 3 beds , 2 baths,3335244,Nancy,,Grandview-Woodland,Vancouver ,49.27985,-123.05817,Entire home/apt,0,4,5,12/27/2019,0.07,1,0,4,License,N,365,4,30
16720749,Rental unit , 2 bedrooms , 2 beds , 1 bath,24773349,Keith,,Mount Pleasant,Vancouver ,49.25789,-123.09123,Entire home/apt,150,3,270,12/1/2023,3.23,1,40,4.92,License,N,309,3,1125
16752966,Home , 4 bedrooms , 5 beds , 2.5 baths,25308045,Breann,,Kitsilano,Vancouver ,49.26041,-123.16441,Entire home/apt,649,5,7,8/3/2022,0.09,1,0,4.71,License,N,329,5,1125
16779964,Condo , 2 bedrooms , 2 beds , 2 baths,6773625,Sasha,,Downtown Eastside,Vancouver ,49.2826,-123.10708,Entire home/apt,250,75,8,4/6/2023,0.1,4,2,5,License,N,356,75,1125
16795187,Condo , 2 bedrooms , 3 beds , 2 baths,111635046,Natalia,,Downtown,Vancouver ,49.27994,-123.10781,Entire home/apt,0,31,70,12/22/2019,0.86,1,0,4.7,License,N,365,35.2109589,1125
16817056,Home , 1 bedroom , 1 bed , 1 bath,33783257,Mike,,Victoria-Fraserview,Vancouver ,49.23073,-123.0577,Entire home/apt,0,2,147,7/14/2023,1.77,1,12,4.84,License,N,365,2,1125
