id,no_of_bed,no_of_bath,neighbourhoodID,room_type_ID,price,number_of_reviews,rating,licenseID,calendar.count_demand
2669445,1,1,23,1,94,13,4.77,4,0
2831971,2,1,6,1,60,2,0,2,18
2847310,1,1,3,1,241,458,4.95,2,156
2876573,1,1,2,1,163,0,0,4,1
2944104,1,1,2,1,110,101,4.63,4,117
2958786,1,1,22,2,117,403,4.8,2,295
2966088,4,2,8,1,209,51,4.71,4,15
2988185,3,1,22,1,98,5,4.8,4,340
2988465,1,1,22,1,87,7,5,4,327
3093219,3,2,11,1,425,20,5,2,355
3100878,1,1,2,1,115,3,5,4,93
3130486,1,1,13,1,139,123,4.81,2,351
3133244,1,1,22,1,200,76,4.58,4,365
3138351,1,1,15,2,50,46,4.63,2,336
3142563,1,1,11,1,110,210,4.9,2,287
3158555,1,1,7,1,80,199,4.82,2,365
3168686,2,1,3,1,188,64,4.77,2,356
3177610,2,1.5,2,1,400,24,4.96,4,186
3183304,1,1,15,2,40,50,4.62,2,276
3194330,3,1,6,1,95,1,0,4,95
3215295,1,1,16,1,120,54,4.87,2,11
3230315,1,1,2,1,93,3,4.67,4,349
3248971,1,1,22,1,73,2,0,4,323
3331054,1,1,7,1,84,96,4.83,2,213
3340865,2,1,4,1,108,19,5,2,273
3342823,1,1,11,1,275,116,4.55,2,96
3379799,6,2,11,1,681,7,4.86,2,324
3415750,1,1,22,1,125,103,4.68,4,49
3425973,2,2.5,11,1,234,18,4.67,2,310
3309313,3,2,2,1,385,4,4.5,4,0
3458717,3,4.5,11,1,394,125,4.77,2,102
3479638,1,1,15,2,90,29,4.55,4,125
3534949,1,1.5,4,2,126,100,4.76,2,276
3563108,1,1,3,2,95,449,4.83,2,183
3577737,1,1,7,1,150,249,4.77,2,175
3621849,5,3,7,1,414,201,4.75,2,92
3629071,1,1,6,1,130,711,4.92,2,139
3638973,1,1,15,2,137,24,4.29,4,95
3678827,2,2,2,1,380,0,0,4,3
3678989,2,1,6,1,121,344,4.77,2,161
3742414,4,1.5,23,1,185,202,4.71,2,92
3594666,2,1,2,1,452,12,4.42,2,0
3803319,4,2,13,1,199,64,4.83,2,365
3811719,1,1,2,1,88,3,5,4,352
3812348,1,1,16,2,85,765,4.93,2,293
3829365,1,1,6,1,95,650,4.8,2,328
3857478,2,1,22,1,141,201,4.85,4,294
